x,y,color,rack,switch,patch_panel,puerto_switch,puerto_patch,dependencia,lugar,nomenclatura,comentarios
432,1048,#00FF00,RK1,SWA,PPD1,13.0,13.0,TI(106),Sistemas (SIST),SIST1,
432,1058,#FFA500,RK1,,PPD2,,13.0,TI,Sistemas (SIST),SIST1,
429,1072,#FFA500,RK1,,PPD2,,14.0,,Sistemas (SIST),SIST2,
422,1073,#FFA500,RK1,,PPD1,,14.0,,Sistemas (SIST),SIST2,
405,1078,#FFA500,RK1,,PPD1,,15.0,TI,Sistemas (SIST),SIST3,
396,1080,#FFA500,RK1,,PPD1,,15.0,TI,Sistemas (SIST),SIST3,Exterior  EXT 113
381,1080,#FFA500,RK1,,PPD2,,16.0,,Sistemas (SIST),SIST4,123456
374,1083,#00FF00,RK1,SWA,PPD1,16.0,16.0,"TI, VOZ",Sistemas (SIST),SIST4,
366,1080,#00FF00,RK1,SWA,PPD2,45.0,17.0,WIFI,Sistemas (SIST),SIST5,
365,1073,#FFA500,RK1,,PPD1,,17.0,,Sistemas (SIST),SIST5,
365,1058,#FFFF00,RK1,SWB,PPD2,2.0,18.0,,Sistemas (SIST),SIST6,
364,1052,#00FF00,RK1,SWA,PPD1,18.0,18.0,TI,Sistemas (SIST),SIST6,
649,877,#00FF00,RK1,SWA,PPD1,1.0,1.0,FN,FINANCIERA (FIN),FIN1,
689,883,#FFA500,RK1,,PPD2,,1.0,,FINANCIERA (FIN),FIN2,
690,902,#00FF00,RK1,SWA,PPD1,2.0,2.0,FN,FINANCIERA (FIN),FIN3,
689,912,#FFA500,RK1,,PPD2,,2.0,,FINANCIERA (FIN),FIN3,
688,945,#FFA500,RK1,,PPD2,,3.0,,FINANCIERA (FIN),FIN4,
688,953,#00FF00,RK1,SWA,PPD1,3.0,3.0,FN,FINANCIERA (FIN),FIN4,
597,835,#FF0000,RK1,,PPD1,4.0,6.0,AD,SECRETARIA ADMINISTRATIVA(ADMSEC),ADMSEC1,PUNTO TOMA MAL
596,826,#800080,RK1,,PPD2,,6.0,AD,SECRETARIA ADMINISTRATIVA(ADMSEC),ADMSEC1,(4578)
597,847,#800080,RK1,,PPD2,,7.0,,SECRETARIA ADMINISTRATIVA(ADMSEC),ADMSEC2,(3456) EXT 101
598,855,#00FF00,RK1,SWA,PPD2,6.0,7.0,AD,SECRETARIA ADMINISTRATIVA(ADMSEC),ADMSEC2,
672,1071,#FFA500,RK1,,PPD2,,4.0,,Sistemas (SIST),SUBFIN1,
663,1073,#00FF00,RK1,SWA,PPD1,4.0,4.0,,Sistemas (SIST),SUBFIN1,
365,937,#FFFF00,RK1,SWA,PPD2,20.0,21.0,AD(103),SALA MULTIFUNCIONAL (SMF),SMF1,(123456)
364,929,#FFFF00,RK1,SWA,PPD1,21.0,21.0,"FN(102), VOZ(200)",SALA MULTIFUNCIONAL (SMF),SMF1,
366,910,#FFA500,RK1,,PPD2,,22.0,,SALA MULTIFUNCIONAL (SMF),SMF2,(345678) EXT 115
365,902,#00FF00,RK1,SWA,PPD1,22.0,22.0,"FN(102), AD(103), VOZ(200)",SALA MULTIFUNCIONAL (SMF),SMF2,
363,811,#FFA500,RK1,,PPD2,,23.0,,ATENCION AL CLIENTE  1 (ATCLA),ATCLA1,
363,802,#FFFF00,RK1,SWA,PPD1,23.0,23.0,TI(106),ATENCION AL CLIENTE  1 (ATCLA),ATCLA1,
379,791,#00FF00,RK1,SWA,PPD2,10.0,24.0,"CM(100), AD(103), FN(102)",ATENCION AL CLIENTE  1 (ATCLA),ATCLA2,Se corrigió de (12345687) a normal 
387,790,#0000FF,,,,,,,ATENCION AL CLIENTE  1 (ATCLA),ATCLA2,
462,886,#FFA500,RK1,,PPD2,,28.0,,SALA MULTIFUNCIONAL (SMF),SMF3,EXT 108
462,894,#00FF00,RK1,SWA,PPD1,28.0,28.0,"AD(103), VOZ(200)",SALA MULTIFUNCIONAL (SMF),SMF3,
